id,source,target,type,source_type,target_type
5211,4416,5017,place of composition of,Place,Work
5212,4436,5023,place of composition of,Place,Work
5213,4428,5168,place of composition of,Place,Work
5214,4409,5175,place of composition of,Place,Work
5215,4526,5186,place of composition of,Place,Work
5216,4390,5205,place of composition of,Place,Work
5217,4404,5220,place of composition of,Place,Work
5218,4419,5240,place of composition of,Place,Work
5219,4461,5291,place of composition of,Place,Work
5220,4409,5291,place of composition of,Place,Work
5221,4567,5248,place of composition of,Place,Work
5222,4386,5248,place of composition of,Place,Work
5223,4416,5248,place of composition of,Place,Work
5224,4452,5040,place of composition of,Place,Work
5225,4481,5285,place of composition of,Place,Work
5226,4422,5284,place of composition of,Place,Work
5227,4422,5286,place of composition of,Place,Work
5228,4505,5380,place of composition of,Place,Work
5229,4450,5381,place of composition of,Place,Work
5230,4422,5392,place of composition of,Place,Work
5231,4404,5393,place of composition of,Place,Work
5232,4430,5396,place of composition of,Place,Work
5233,4400,5398,place of composition of,Place,Work
5234,4563,5400,place of composition of,Place,Work
5235,4430,5402,place of composition of,Place,Work
5236,4465,5401,place of composition of,Place,Work
5237,4422,5408,place of composition of,Place,Work
5238,4405,5415,place of composition of,Place,Work
5239,4560,5416,place of composition of,Place,Work
5240,4560,5420,place of composition of,Place,Work
5241,4460,5461,place of composition of,Place,Work
5242,4410,5463,place of composition of,Place,Work
5243,4544,5467,place of composition of,Place,Work
5244,4544,5468,place of composition of,Place,Work
5245,4459,5469,place mentioned in,Place,Work
5246,4675,5374,place of composition of,Place,Work
5247,4459,5475,place of composition of,Place,Work
5248,4563,5398,place of composition of,Place,Work
5249,4459,5482,place of composition of,Place,Work
5250,4519,5511,place of composition of,Place,Work
5251,4560,5607,place of composition of,Place,Work
5252,4415,5825,place of composition of,Place,Work
5253,4560,5947,place of composition of,Place,Work
5254,4457,6052,place of composition of,Place,Work
5255,4737,6475,place of composition of,Place,Work
5256,4832,6724,place of composition of,Place,Work
5257,4430,6912,place of composition of,Place,Work
5258,4483,6915,place of composition of,Place,Work
5259,4449,7382,place of copy of,Place,Expression
5260,4449,7408,place of copy of,Place,Expression
5261,4560,7408,place of copy of,Place,Expression
5262,4405,7419,place of copy of,Place,Expression
5263,4427,7454,place of copy of,Place,Expression
5264,4561,7455,place of copy of,Place,Expression
5265,4427,7466,place of copy of,Place,Expression
5266,4569,7486,place of copy of,Place,Expression
5267,4528,7495,place of copy of,Place,Expression
5268,4409,7520,place of copy of,Place,Expression
5269,4427,7529,place of copy of,Place,Expression
5270,4410,7536,place of copy of,Place,Expression
5271,4383,7566,place of copy of,Place,Expression
5272,4612,7575,place of copy of,Place,Expression
5273,4616,7589,place of copy of,Place,Expression
5274,4393,7591,place of copy of,Place,Expression
5275,4404,7596,place of copy of,Place,Expression
5276,4618,7600,place of copy of,Place,Expression
5277,4468,7627,place of copy of,Place,Expression
5278,4563,7628,place of copy of,Place,Expression
