id,source,target,type
1,1,2,son of
2,1,2,studied with
3,1,3,studied with
4,1,4,studied with
5,5,1,patron of
6,8,9,studied with
7,9,25,studied with
8,8,25,follower of
9,1,1,colleague of
10,12,13,studied with
11,14,12,patron of
12,15,18,studied with
13,25,27,studied with
14,25,28,studied with
15,25,29,colleague of
16,30,25,patron of
17,25,31,colleague of
18,25,32,colleague of
19,25,32,colleague of
20,33,25,patron of
21,25,34,colleague of
22,25,35,colleague of
23,15,21,son of
24,36,37,studied with
25,36,39,worked for
26,36,40,worked for
27,20,15,follower of
28,38,36,follower of
29,19,15,grandfather of
30,42,41,son of
31,44,45,colleague of
32,49,13,colleague of
33,49,50,colleague of
34,8,54,studied with
35,56,57,studied with
36,56,58,studied with
37,63,8,studied with
38,63,65,studied with
39,63,66,studied with
40,63,67,studied with
41,63,68,studied with
42,69,63,studied with
43,70,63,patron of
44,78,79,son of
45,89,56,studied with
46,90,50,follower of
47,90,92,worked for
48,90,94,worked for
49,90,93,met with
50,90,91,met with
51,96,97,colleague of
52,96,93,met with
53,108,112,worked for
54,108,113,worked for
55,111,118,patron of
56,121,50,studied with
57,124,1,met with
58,124,125,studied with
59,127,128,studied with
60,127,129,studied with
61,127,130,studied with
62,127,131,studied with
63,127,132,colleague of
64,133,14,brother of
65,133,135,worked for
66,133,136,worked for
67,137,14,met with
68,137,133,met with
69,115,108,patron of
70,115,138,patron of
71,145,25,met with
72,145,146,studied with
73,145,147,studied with
74,148,145,studied with
75,167,166,patron of
76,166,168,follower of
77,166,169,colleague of
78,171,170,patron of
79,172,170,patron of
80,173,170,patron of
81,175,174,patron of
82,143,178,studied with
83,109,185,patron of
84,205,185,patron of
85,206,185,patron of
86,176,192,son of
87,12,200,studied with
88,203,146,studied with
89,208,209,worked for
90,254,255,studied with
91,254,255,colleague of
92,260,181,studied with
93,264,57,met with
94,148,269,studied with
95,178,273,studied with
96,287,25,studied with
97,56,18,brother of
98,146,147,studied with
99,147,284,follower of
100,176,361,studied with
101,378,379,colleague of
102,377,25,studied with
103,388,12,studied with
104,400,399,grandfather of
105,202,6,studied with
106,14,404,patron of
107,399,406,grand nephew of
108,407,408,son of
109,32,189,studied with
110,412,413,son of
111,436,250,follower of
112,445,115,worked for
113,460,459,patron of
114,16,22,studied with
115,22,12,colleague of
116,30,56,patron of
117,60,30,son of
118,60,56,patron of
119,59,56,patron of
120,97,93,colleague of
121,101,100,patron of
122,102,100,patron of
123,109,108,patron of
124,110,108,patron of
125,110,185,patron of
126,111,108,patron of
127,114,108,patron of
128,101,137,patron of
129,138,93,follower of
130,179,267,colleague of
131,181,12,studied with
132,181,434,studied with
133,181,47,studied with
134,185,132,met with
135,92,208,patron of
136,376,88,follower of
137,207,426,nephew of
138,428,280,studied with
139,432,13,met with
140,432,92,eulogized
141,434,13,studied with
142,434,172,worked for
143,434,170,colleague of
144,439,47,studied with
145,439,48,studied with
146,262,462,studied with
147,463,262,studied with
148,465,466,studied with
149,262,465,studied with
150,467,464,son of
151,123,470,follower of
152,475,140,son of
153,475,476,met with
154,475,477,described by
155,475,478,described by
156,522,524,son of
157,387,43,follower of
158,189,387,commented the work of
159,555,495,descendant of
160,555,556,patron of
161,555,557,nephew of
162,558,555,son of
163,560,148,son of
164,563,562,studied with
165,566,283,commander of
166,566,567,nephew of
167,566,567,studied with
168,568,559,worked for
169,568,570,follower of
170,568,571,follower of
171,568,572,worked for
172,574,573,teacher of
173,575,573,captor of
174,578,577,teacher of
175,582,47,studied with
176,439,584,great grand father of
177,584,572,worked for
178,586,200,met with
179,595,596,son of
180,140,600,son of
181,381,609,teacher of
182,614,200,follower of
183,616,617,worked for
184,618,616,studied with
185,185,625,follower of
186,93,6,follower of
187,93,4,studied with
188,93,1,studied with
189,634,6,follower of
190,14,639,patron of
191,493,643,son of
192,644,493,captor of
193,645,493,captor of
194,494,671,worked for
195,494,672,colleague of
196,495,493,grandfather of
197,495,675,son of
198,495,677,son of
199,495,678,spouse of
200,495,681,rival of
201,495,680,rival of
202,179,688,colleague of
203,689,499,teacher of
204,499,690,teacher of
205,499,691,teacher of
206,495,682,rival of
207,495,676,cousin of
208,495,679,successor of
209,495,684,rival of
210,495,683,murderer of
211,695,502,eulogized
212,694,502,teacher of
213,700,654,worked for
214,701,495,descendant of
215,200,702,teacher of
216,716,717,teacher of
217,503,724,descendant of
218,503,723,descendant of
219,503,725,worked for
220,503,728,teacher of
221,727,503,teacher of
222,726,503,teacher of
223,733,512,brother of
224,734,512,teacher of
225,512,1247,teacher of
226,735,512,met with
227,736,512,patron of
228,737,512,patron of
229,738,512,patron of
230,733,512,teacher of
231,512,739,teacher of
232,512,732,son of
233,740,527,teacher of
234,743,522,biographer of
235,522,744,follower of
236,745,522,patron of
237,750,539,teacher of
238,751,539,teacher of
239,659,539,teacher of
240,752,539,teacher of
241,753,539,teacher of
242,539,750,son of
243,754,539,teacher of
244,1,543,teacher of
245,5,543,eulogized
246,755,543,colleague of
247,758,586,rival of
248,758,759,rival of
249,811,810,teacher of
250,849,135,captor of
251,849,13,colleague of
252,849,850,worked for
253,849,851,worked for
254,857,821,teacher of
255,858,821,teacher of
256,859,821,teacher of
257,821,860,worked for
258,13,826,teacher of
259,754,826,biographer of
260,826,861,teacher of
261,872,871,teacher of
262,197,871,teacher of
263,518,871,teacher of
264,871,874,teacher of
265,871,805,teacher of
266,281,22,studied with
267,281,22,commented the work of
268,875,877,descendant of
269,879,875,teacher of
270,878,875,teacher of
271,875,880,colleague of
272,875,753,teacher of
273,875,881,teacher of
274,916,6,commented the work of
275,920,919,teacher of
276,921,919,teacher of
277,919,144,teacher of
278,936,935,teacher of
279,941,727,teacher of
280,941,434,teacher of
281,941,942,teacher of
282,946,945,teacher of
283,947,945,teacher of
284,948,945,teacher of
285,949,945,teacher of
286,953,945,son of
287,953,954,worked for
288,945,951,teacher of
289,945,952,teacher of
290,957,752,teacher of
291,958,752,teacher of
292,959,752,teacher of
293,960,752,teacher of
294,499,924,teacher of
295,971,924,teacher of
296,972,865,teacher of
297,586,972,teacher of
298,956,173,worked for
299,956,172,worked for
300,956,109,worked for
301,173,956,patron of
302,173,172,brother of
303,109,172,son of
304,109,173,nephew of
305,987,985,teacher of
306,988,985,teacher of
307,989,985,teacher of
308,990,985,teacher of
309,991,985,met with
310,985,992,teacher of
311,985,993,teacher of
312,985,994,teacher of
313,1003,743,great grand father of
314,1004,743,cousin of
315,1005,743,brother of
316,743,1006,worked for
317,743,1007,worked for
318,1014,272,met with
319,1014,1035,worked for
320,6,998,teacher of
321,1036,997,teacher of
322,997,1036,son of
323,1037,997,follower of
324,1038,997,follower of
325,1039,997,follower of
326,1040,1029,teacher of
327,1041,1029,teacher of
328,1029,434,teacher of
329,1029,1042,teacher of
330,1029,13,met with
331,996,1071,son of
332,1072,996,met with
333,1073,996,teacher of
334,996,1,met with
335,996,754,described by
336,996,1074,teacher of
337,996,1075,teacher of
338,996,1076,teacher of
339,996,600,teacher of
340,996,1078,teacher of
341,1102,1052,teacher of
342,1103,1052,teacher of
343,1105,1043,teacher of
344,1043,1104,descendant of
345,1043,18,follower of
346,1106,1043,met with
347,272,6,met with
348,17,1112,teacher of
349,434,1134,teacher of
350,434,1138,teacher of
351,1185,1152,teacher of
352,1152,1186,worked for
353,1152,1187,worked for
354,1188,1152,rival of
355,1159,1189,son of
356,1159,1176,teacher of
357,1159,1190,worked for
358,1189,1190,worked for
359,524,1161,biographer of
360,1161,1191,worked for
361,1161,1192,worked for
362,1193,1166,teacher of
363,1171,1194,worked for
364,1174,1,descendant of
365,1212,860,son of
366,1185,1188,teacher of
367,1185,123,teacher of
368,1244,1185,teacher of
369,1152,1244,son of
370,1244,1152,teacher of
371,1185,1245,worked for
372,1185,1246,worked for
373,123,1245,worked for
374,1247,1204,teacher of
375,1204,1248,worked for
376,1204,1249,worked for
377,1072,1043,studied with
378,1517,1196,teacher of
379,1517,1518,worked for
380,1196,1518,worked for
381,1196,1519,worked for
382,1196,1520,worked for
383,1558,1009,son of
384,1564,1563,son of
385,585,586,follower of
386,585,110,patron of
387,1642,272,described by
388,1646,1645,teacher of
389,12,1646,teacher of
390,1654,1594,patron of
391,1655,1594,patron of
392,1656,1594,studied with
393,1667,1666,son of
394,1668,1667,son of
395,1669,1668,son of
396,1670,1669,son of
397,1666,1668,grandfather of
398,1666,1669,great grand father of
399,1667,1669,grandfather of
400,1667,1670,great grand father of
401,1668,1670,grandfather of
402,1597,1675,colleague of
403,1597,108,colleague of
404,1597,1676,colleague of
405,1597,113,worked for
406,1598,1678,worked for
407,1598,1679,colleague of
408,1600,1681,studied with
409,1600,1682,studied with
410,1600,1683,studied with
411,1684,84,teacher of
412,1685,84,met with
413,1686,84,met with
414,84,1688,teacher of
415,1707,1205,teacher of
416,948,1205,teacher of
417,1708,1205,teacher of
418,1709,1205,teacher of
419,1710,1205,met with
420,1205,1711,worked for
421,1220,1205,teacher of
422,1205,1712,worked for
423,6,917,teacher of
424,1713,1220,teacher of
425,886,1237,teacher of
426,1714,1237,teacher of
427,1237,434,teacher of
428,960,1250,teacher of
429,1715,1250,teacher of
430,1250,119,teacher of
431,1250,1716,teacher of
432,1252,1717,worked for
433,616,1254,teacher of
434,1718,1254,teacher of
435,293,5,worked for
436,293,1721,worked for
437,293,1722,follower of
438,1723,1322,patron of
439,1724,1322,colleague of
440,1333,1186,worked for
441,1270,140,colleague of
442,1270,1725,teacher of
443,779,1278,teacher of
444,778,1278,teacher of
445,760,1278,teacher of
446,1278,1726,teacher of
447,1278,1451,teacher of
448,13,1295,teacher of
449,1295,1727,worked for
450,1295,1728,teacher of
451,1729,1296,teacher of
452,1730,1296,teacher of
453,1296,1731,teacher of
454,1296,771,teacher of
455,1286,1106,worked for
456,1736,874,teacher of
457,1737,874,teacher of
458,1738,874,teacher of
459,1740,874,teacher of
460,874,1742,teacher of
461,874,45,teacher of
462,1205,1741,son of
463,874,1743,teacher of
464,1188,1741,teacher of
465,874,1187,worked for
466,1603,1744,worked for
467,1746,1174,studied with
468,1747,1746,teacher of
469,1746,115,worked for
470,1746,582,met with
471,1746,575,met with
472,1746,439,rival of
473,1748,1746,met with
474,1746,1749,met with
475,1746,1750,teacher of
476,1188,1733,worked for
477,1188,1734,worked for
478,1188,1735,worked for
479,1188,1739,worked for
480,1188,1739,captor of
481,1732,1309,teacher of
482,1752,1309,murderer of
483,6,1605,teacher of
484,1605,6,met with
485,1633,1719,teacher of
486,13,1719,teacher of
487,14,1719,patron of
488,1753,1719,patron of
489,1719,12,teacher of
490,1719,791,teacher of
491,1719,637,met with
492,1754,872,patron of
493,1755,872,patron of
494,1621,1608,teacher of
495,1756,1608,patron of
496,1757,1608,patron of
497,1758,1608,met with
498,1759,1608,met with
