id,type,label
1,Person,Fakhr al-Dīn Muḥammad al-Rāzī (1)
2,Person,Ḍiyāʾ al-Dīn ʿUmar al-Makkī (2)
3,Person,Kamāl al-Dīn al-Simnānī (3)
4,Person,Majd al-Dīn al-Jīlī (4)
5,Person,Alāʾ al-Dīn Muḥammad Khwārazm Shāh (5)
8,Person,Burhān al-Dīn Nāṣir al-Muṭarrizī (8)
9,Person,Abū l-Muʾayyad al-Muwaffaq (9)
25,Person,Jār Allāh Maḥmūd al-Zamakhsharī (25)
12,Person,Quṭb al-Dīn Maḥmūd al-Shīrāzī (12)
13,Person,Naṣīr al-Dīn Muḥammad al-Ṭūsī (13)
14,Person,Shams al-Dīn Muḥammad al-Juwaynī (14)
15,Person,ʿAyn al-Qużāt al-Hamadānī (15)
18,Person,Majd al-Dīn Aḥmad al-Ghazālī (18)
27,Person,Abū ʿAlī al-Ḥasan al-Naysābūrī (27)
28,Person,Abū Muḍar Maḥmūd al-Ḍabbī (28)
29,Person,Rukn al-Dīn Maḥmūd Ibn al-Malāḥimī (29)
30,Person,Niẓām al-Mulk al-Ḥasan al-Ṭūsī (30)
31,Person,Aḥmad al-Dāmghānī (31)
32,Person,Ḍiyāʾ al-Dīn Hibat Allāh Ibn al-Shajarī (32)
33,Person,Ḥamza Ibn Wahhās (33)
34,Person,Muwaffaq al-Dīn Ibn Yaʿīsh al-Asadī (34)
35,Person,Jamāl al-Dīn Muḥammad Ibn Mālik (35)
21,Person,Abū Bakr Muḥammad al-Miyānajī (21)
36,Person,Abū Bakr Qalandar (36)
37,Person,Bahāʾ al-Dīn ʿUmar al-Zilāwī (37)
39,Person,Ghiyāth al-Dīn Muḥammad Ūzbik Khān (39)
40,Person,Jānī Bik Maḥmūd Khān (40)
20,Person,ʿAzīz al-Dīn al-Mustawfī (20)
38,Person,Ḥajjī Muḥammad al-Qrimī (38)
19,Person,Abū l-Ḥasan ʿAlī al-Miyānajī (19)
42,Person,Majd al-Dīn Aḥmad al-Sajāwandī (42)
41,Person,Shams al-ʿĀrifīn Muḥammad al-Sajāwandī (41)
44,Person,Aḥmad al-Ḥaḍramī al-Shabwī (44)
45,Person,Abū l-Faraj ʿAbd al-Raḥmān Ibn al-Jawzī (45)
49,Person,Farīd al-Dīn Muḥammad ʿAṭṭār (49)
50,Person,Sharaf ibn Muʼayyad Majd al-Dīn al-Baghdādī (50)
54,Person,Muḥammad al-Baqqālī (54)
56,Person,Abū Ḥāmid Muḥammad al-Ghazālī (56)
57,Person,Ḍiyāʾ al-Dīn ʿAbd al-Malik al-Juwaynī (57)
58,Person,Abū ʿAlī Faḍl al-Fārmadī (58)
63,Person,Najm al-Dīn Mukhtār al-Ghazmīnī (63)
65,Person,Sirāj al-Dīn Muḥammad (65)
66,Person,Burhān al-Aʾimma Muḥammad al-Turkistānī (66)
67,Person,Yūsuf ibn Abī Bakr al-Sakkākī (67)
68,Person,Sadīd al-Ḥināṭī (68)
69,Person,Mawlā Ṭūrsūn (69)
70,Person,Birki Khān (70)
78,Person,Muṣṭafā al-Ṣadrī (78)
79,Person,Mawlānā Muḥammad al-Ṣadrī (79)
89,Person,Majd al-Dīn al-Ḥusayn Ibn Khamīs (89)
90,Person,Najm al-Dīn ʿAbd Allāh Dāya (90)
92,Person,Abū l-ʿAbbās Aḥmad al-Nāṣir li-Dīn Allāh (92)
94,Person,Abū Naṣr Muḥammad al-Ẓāhir bi-Amr Allāh (94)
93,Person,Shihāb al-Dīn ʿUmar al-Suhrawardī (93)
91,Person,ʿAlā al-Dīn Kayqubād (91)
96,Person,Sirāj al-Dīn al-Qamarī (96)
97,Person,Kamāl al-Dīn Ismāʿīl al-Iṣfahānī (97)
108,Person,Jamāl al-Dīn Salmān al-Sāwajī (108)
112,Person,Shams al-Dīn Muḥammad Zakarīyā (112)
113,Person,Shaykh Uways Jalāyir (113)
111,Person,Shaykh Ḥasan Jalāyir (111)
118,Person,Kamāl al-Dīn Masʿūd al-Khujandī (118)
121,Person,Sadīd al-Dīn Muḥammad al-ʿAwfī (121)
124,Person,Sharaf al-Dīn Muḥammad al-Masʻūdī (124)
125,Person,ʿUmar ibn Sahlān Ibn Sahlān Sāwī (125)
127,Person,ʿAbd al-Razzāq ibn Aḥmad al-Qāshānī (127)
128,Person,Muḥammad ibn Aḥmad Kīshī (128)
129,Person,Najīb al-Dīn ʿAlī Ibn Buzgush (129)
130,Person,Ṣadr al-Dīn Rūzbihān (130)
131,Person,Nūr al-Dīn al-Isfarāʾīnī (131)
132,Person,ʿAlā al-Dawla Aḥmad al-Simnānī (132)
133,Person,ʿAlāʾ al-Dīn ʿAṭā Malik al-Juwaynī (133)
135,Person,Hulāgū Khān (135)
136,Person,Aḥmad Takūdār Khān (136)
137,Person,Musharrif al-Dīn Muṣliḥ al-Shīrāzī (137)
115,Person,Jalāl al-Dīn Shāh Shujāʿ (115)
138,Person,ʿImād al-Dīn ʿAlī al-Kirmānī (138)
145,Person,Abū Ḥafṣ ʿUmar al-Nasafī (145)
146,Person,Fakhr al-Islām ʿAlī al-Bazdawī (146)
147,Person,Abū l-Muʿīn Maymūn al-Nasafī (147)
148,Person,Burhān al-Dīn ʿAlī al-Marghīnānī (148)
167,Person,Jalālat al-Dīn Raḍiyya Sulṭān (167)
166,Person,Nāṣir al-Dīn Amīr Khusraw al-Dihlawī (166)
168,Person,Niẓām al-Dīn Muḥammad Awliyāʾ (168)
169,Person,Ḥasan al-Sijzī (169)
171,Person,Abaqa Khān (171)
170,Person,Rashīd al-Dīn Faḍl Allāh al-Hamadānī (170)
172,Person,Muḥammad Khudā Banda Uljaytū Khān (172)
173,Person,Maḥmūd Ghāzān Khān (173)
