id,source,target,type,source_type,target_type
928,138,4464,lived in,Person,Place
1008,210,4449,lived in,Person,Place
1009,210,4517,born in,Person,Place
1027,256,4524,born in,Person,Place
1028,256,4452,studied in,Person,Place
1029,256,4459,studied in,Person,Place
1030,256,4459,lived in,Person,Place
1031,256,4430,work in,Person,Place
1032,256,4430,work in,Person,Place
1033,256,4459,died in,Person,Place
1034,256,4459,buried in,Person,Place
1128,298,4505,place of birth,Person,Place
1129,298,4449,lived in,Person,Place
1206,383,4481,born in,Person,Place
1207,383,4398,work in,Person,Place
1208,383,4422,work in,Person,Place
1235,422,4456,born in,Person,Place
1236,422,4459,studied in,Person,Place
1237,422,4430,lived in,Person,Place
1238,422,4441,visited,Person,Place
1239,422,4477,visited,Person,Place
1240,422,4428,made pilgrimage to,Person,Place
1265,8,4567,born in,Person,Place
1266,8,4428,made pilgrimage to,Person,Place
1267,8,4419,visited,Person,Place
1268,8,4567,died in,Person,Place
1269,13,4405,born in,Person,Place
1270,13,4450,studied in,Person,Place
1271,13,4457,studied in,Person,Place
1272,13,4595,work in,Person,Place
1273,13,4596,work in,Person,Place
1274,13,4419,participated in the conquest of,Person,Place
1275,13,4419,died in,Person,Place
1276,13,4388,work in,Person,Place
1277,13,4388,participated in the founding of,Person,Place
1343,434,4589,born in,Person,Place
1344,434,4388,studied in,Person,Place
1345,434,4419,studied in,Person,Place
1346,434,4606,lived in,Person,Place
1347,434,4589,taught in,Person,Place
1348,434,4589,died in,Person,Place
1448,576,4563,lived in,Person,Place
1453,580,4427,lived in,Person,Place
1455,582,4404,born in,Person,Place
1456,582,4404,died in,Person,Place
1457,584,4563,born in,Person,Place
1469,591,4631,born in,Person,Place
1497,612,4563,lived in,Person,Place
1498,612,4510,born in,Person,Place
1514,619,4541,lived in,Person,Place
1518,623,4406,lived in,Person,Place
1546,485,4655,place of birth,Person,Place
1547,485,4419,lived in,Person,Place
1548,485,4419,died in,Person,Place
1551,661,4465,lived in,Person,Place
1607,716,4544,lived in,Person,Place
1708,791,4589,lived in,Person,Place
1738,767,4431,lived in,Person,Place
1822,891,4410,lived in,Person,Place
1917,1125,4407,born in,Person,Place
1958,1565,4560,born in,Person,Place
2048,874,4419,born in,Person,Place
2049,874,4419,taught in,Person,Place
2326,1649,4388,born in,Person,Place
2327,1649,4737,died in,Person,Place
2380,2141,4589,born in,Person,Place
2381,2141,4464,died in,Person,Place
2429,960,4411,born in,Person,Place
2430,960,4430,work in,Person,Place
2431,960,4459,work in,Person,Place
2432,960,4509,visited,Person,Place
2433,960,4459,died in,Person,Place
2455,976,4413,lived in,Person,Place
2456,976,4430,died in,Person,Place
2773,383,5285,author of,Person,Work
2774,383,5284,author of,Person,Work
2775,383,5286,author of,Person,Work
2901,584,5400,author of,Person,Work
2977,716,5467,author of,Person,Work
4457,3634,6912,author of,Person,Work
4460,313,6915,author of,Person,Work
5211,4416,5017,place of composition of,Place,Work
5212,4436,5023,place of composition of,Place,Work
5213,4428,5168,place of composition of,Place,Work
5214,4409,5175,place of composition of,Place,Work
5215,4526,5186,place of composition of,Place,Work
5216,4390,5205,place of composition of,Place,Work
5217,4404,5220,place of composition of,Place,Work
5218,4419,5240,place of composition of,Place,Work
5219,4461,5291,place of composition of,Place,Work
5220,4409,5291,place of composition of,Place,Work
5221,4567,5248,place of composition of,Place,Work
5222,4386,5248,place of composition of,Place,Work
5223,4416,5248,place of composition of,Place,Work
5224,4452,5040,place of composition of,Place,Work
5225,4481,5285,place of composition of,Place,Work
5226,4422,5284,place of composition of,Place,Work
5227,4422,5286,place of composition of,Place,Work
5228,4505,5380,place of composition of,Place,Work
5229,4450,5381,place of composition of,Place,Work
5230,4422,5392,place of composition of,Place,Work
5231,4404,5393,place of composition of,Place,Work
5232,4430,5396,place of composition of,Place,Work
5233,4400,5398,place of composition of,Place,Work
5234,4563,5400,place of composition of,Place,Work
5235,4430,5402,place of composition of,Place,Work
5236,4465,5401,place of composition of,Place,Work
5237,4422,5408,place of composition of,Place,Work
5238,4405,5415,place of composition of,Place,Work
5239,4560,5416,place of composition of,Place,Work
5240,4560,5420,place of composition of,Place,Work
5241,4460,5461,place of composition of,Place,Work
5242,4410,5463,place of composition of,Place,Work
5243,4544,5467,place of composition of,Place,Work
5244,4544,5468,place of composition of,Place,Work
5245,4459,5469,place mentioned in,Place,Work
5246,4675,5374,place of composition of,Place,Work
5247,4459,5475,place of composition of,Place,Work
5248,4563,5398,place of composition of,Place,Work
5249,4459,5482,place of composition of,Place,Work
5250,4519,5511,place of composition of,Place,Work
5251,4560,5607,place of composition of,Place,Work
5252,4415,5825,place of composition of,Place,Work
5253,4560,5947,place of composition of,Place,Work
5254,4457,6052,place of composition of,Place,Work
5255,4737,6475,place of composition of,Place,Work
5256,4832,6724,place of composition of,Place,Work
5257,4430,6912,place of composition of,Place,Work
5258,4483,6915,place of composition of,Place,Work
5259,4449,7382,place of copy of,Place,Expression
5260,4449,7408,place of copy of,Place,Expression
5261,4560,7408,place of copy of,Place,Expression
5262,4405,7419,place of copy of,Place,Expression
5263,4427,7454,place of copy of,Place,Expression
5264,4561,7455,place of copy of,Place,Expression
5265,4427,7466,place of copy of,Place,Expression
5266,4569,7486,place of copy of,Place,Expression
5267,4528,7495,place of copy of,Place,Expression
5268,4409,7520,place of copy of,Place,Expression
5269,4427,7529,place of copy of,Place,Expression
5270,4410,7536,place of copy of,Place,Expression
5271,4383,7566,place of copy of,Place,Expression
5272,4612,7575,place of copy of,Place,Expression
5273,4616,7589,place of copy of,Place,Expression
5274,4393,7591,place of copy of,Place,Expression
5275,4404,7596,place of copy of,Place,Expression
5276,4618,7600,place of copy of,Place,Expression
5277,4468,7627,place of copy of,Place,Expression
5278,4563,7628,place of copy of,Place,Expression
5279,4427,7629,place of copy of,Place,Expression
5280,4427,7638,place of copy of,Place,Expression
5281,4422,7643,place of copy of,Place,Expression
5282,4519,7645,place of copy of,Place,Expression
5283,4393,7649,place of copy of,Place,Expression
5284,4404,7652,place of copy of,Place,Expression
5285,4404,7653,place of copy of,Place,Expression
5286,4404,7654,place of copy of,Place,Expression
5287,4404,7655,place of copy of,Place,Expression
5288,4406,7656,place of copy of,Place,Expression
5289,4563,7657,place of copy of,Place,Expression
5290,4560,7658,place of copy of,Place,Expression
5291,4541,7665,place of copy of,Place,Expression
5292,4541,7666,place of copy of,Place,Expression
5293,4406,7671,place of copy of,Place,Expression
5294,4388,7696,place of copy of,Place,Expression
5295,4560,7703,place of copy of,Place,Expression
5296,4477,7709,place of copy of,Place,Expression
5297,4465,7710,place of copy of,Place,Expression
5298,4544,7729,place of copy of,Place,Expression
5299,4734,7801,place of copy of,Place,Expression
5300,4742,7821,place of copy of,Place,Expression
5301,4560,7917,place of copy of,Place,Expression
5302,4422,7922,place of copy of,Place,Expression
5303,4398,8322,place of copy of,Place,Expression
5304,4703,8464,place of copy of,Place,Expression
5305,4724,8465,place of copy of,Place,Expression
5306,4383,8500,place of copy of,Place,Expression
5307,4391,8500,place of copy of,Place,Expression
5308,4554,8505,place of copy of,Place,Expression
5309,4541,8507,place of copy of,Place,Expression
5310,4541,8536,place of copy of,Place,Expression
5311,4541,8537,place of copy of,Place,Expression
5312,4390,8541,place of copy of,Place,Expression
5313,4419,8546,place of copy of,Place,Expression
5314,4383,8549,place of copy of,Place,Expression
5315,4383,8552,place of copy of,Place,Expression
5316,4428,8575,place of copy of,Place,Expression
5317,4419,8577,place of copy of,Place,Expression
5318,4560,8582,place of copy of,Place,Expression
5319,4413,8584,place of copy of,Place,Expression
5320,4560,8584,place of copy of,Place,Expression
5321,4413,8484,place of copy of,Place,Expression
5322,4560,8484,place of copy of,Place,Expression
5323,4413,8585,place of copy of,Place,Expression
5324,4389,8587,place of copy of,Place,Expression
5325,4419,8588,place of copy of,Place,Expression
5326,4560,8589,place of copy of,Place,Expression
5327,4390,8593,place of copy of,Place,Expression
5328,4419,8596,place of copy of,Place,Expression
5329,4419,8597,place of copy of,Place,Expression
5330,4419,8598,place of copy of,Place,Expression
5331,4390,8630,place of copy of,Place,Expression
5332,4462,8632,place of copy of,Place,Expression
5333,4461,8634,place of copy of,Place,Expression
5334,4461,8635,place of copy of,Place,Expression
5335,4426,8639,place of copy of,Place,Expression
5336,4411,8646,place of copy of,Place,Expression
5337,4406,8648,place of copy of,Place,Expression
5338,4449,8648,place of copy of,Place,Expression
5339,4661,8686,place of copy of,Place,Expression
5340,4383,8687,place of copy of,Place,Expression
5341,4391,8687,place of copy of,Place,Expression
5342,4383,8689,place of copy of,Place,Expression
5343,4383,8695,place of copy of,Place,Expression
5344,4383,8696,place of copy of,Place,Expression
5345,4383,8697,place of copy of,Place,Expression
5346,4383,8698,place of copy of,Place,Expression
5347,4383,8699,place of copy of,Place,Expression
5348,4438,8720,place of copy of,Place,Expression
5349,4383,8722,place of copy of,Place,Expression
5350,4457,8726,place of copy of,Place,Expression
5351,4627,8727,place of copy of,Place,Expression
5352,4383,8737,place of copy of,Place,Expression
5353,4383,8738,place of copy of,Place,Expression
5354,4646,8742,place of copy of,Place,Expression
5355,4646,8743,place of copy of,Place,Expression
5356,4646,8744,place of copy of,Place,Expression
5357,4383,8750,place of copy of,Place,Expression
5358,4419,8756,place of copy of,Place,Expression
5359,4560,8758,place of copy of,Place,Expression
5360,4383,8761,place of copy of,Place,Expression
5361,4419,8762,place of copy of,Place,Expression
5362,4560,8764,place of copy of,Place,Expression
5363,4646,8765,place of copy of,Place,Expression
5364,4646,8766,place of copy of,Place,Expression
5365,4560,8771,place of copy of,Place,Expression
5366,4383,8773,place of copy of,Place,Expression
5367,4383,8775,place of copy of,Place,Expression
5368,4383,8784,place of copy of,Place,Expression
5369,4383,8791,place of copy of,Place,Expression
5370,4560,8794,place of copy of,Place,Expression
5371,4419,8797,place of copy of,Place,Expression
5372,4560,8799,place of copy of,Place,Expression
5373,4560,8800,place of copy of,Place,Expression
5374,4560,8801,place of copy of,Place,Expression
5375,4560,8802,place of copy of,Place,Expression
5376,4560,8803,place of copy of,Place,Expression
